artist_name,biography,listeners,playcount,similar_artist
LEE HI,"Lee Ha Yi (이하이), born September 23, 1996, better known by her stage name Lee Hi, is a South Korean singer managed by AOMG. Known as the ""Survival K-Pop Star"" runner-up of 2011, she was scouted by YG Entertainment. Her debut single ""1,2,3,4"", was released in on October 28, 2012 and reached #1 with the first-week sales of 667,549 downloads, remaining #1 on all the main music charts for 5 consecutive days.

Lee Hi signed to AOMG in july 2020, after leaving YG Entertainment in 2019. https://www.last.fm/music/LEE+HI",95105,2375245,Heize
Paolo Buonvino,"Paolo Buonvino (Scordia, 1968) is an Italian Musician and Composer
He studied ""piano"" at the F. Cilea consevatory in Calabria and
""music disciplines"" at the university of Bologna.

Working initially as a musical assistant to Franco Battiato, he dedicated his talents to the theatre, writing scene music for several  theatre companies.

He composed ""Francesco: la notte, il sogno, l’alba” (1995)"" using: soprano, tenor, bass, actors, orchestra, chorus, computer and keyboard. https://www.last.fm/music/Paolo+Buonvino",29863,416447,Reynard Seidel
The Meridian Studio Ensemble,https://www.last.fm/music/The+Meridian+Studio+Ensemble,18835,107295,"Jerry Goldsmith, Ron Jones"
MYTH & ROID,"MYTH & ROID, which groups the words ""Myth"" and ""Android"", is reminiscent of the past, while simultaneously calling to the future. Brought to life by the idea of opening up to and expanding our current situation of an ever-developing new world of people with the same origins.

They made their major debut in July of 2015 in collaboration with the hit television anime series, OVERLORD, with their first single ""L.L.L."". This success along with their coordinated release of the show's opening song, ranked at No. https://www.last.fm/music/MYTH+&+ROID",196211,7436357,OxT
Mike Faist,"Mike Faist is an American actor. He got his start in theatre, performing in the original Broadway casts of both Newsies (2012-2013) and Dear Evan Hansen (2016-2018), even earning a Tony nomination for the latter. He has appeared in multiple films and tv shows, including Amazon Prime Video's Panic (2021). He was cast as Riff in Steven Spielberg's West Side Story (2021), which earned him a BAFTA nomination and critical acclaim. https://www.last.fm/music/Mike+Faist",221797,2539491,Laura Dreyfuss
Lyn,"1.LYn (Korean:이세진) (Lee Se-jin) born 9 November 1981 South Korean singer and songwriter has been present for over 20 years releasing over 10 studio albums.She is now releasing music under her own music label COMPANY919.

2.Lyn Inaizumi (Japanese:稲泉 りん)  born March 13 1988 is a Japanese Jazz and Soul Vocalist.She is notably known for her music works in Persona 5. https://www.last.fm/music/Lyn",472937,23651959,Shihoko Hirata
澤野弘之,"Hiroyuki Sawano (澤野弘之; born 12 Sep 1980 in Tokyo) is a Japanese composer, arranger, lyricist, pianist, and music producer. He was a part of the group Legendoor from 2006 to 2017, after which his contract was terminated. He is now represented by his own company VV-ALKLINE.
He was first recognized after completing the Soundtrack for the drama 'Iryu~Team Medical Dragon'. He composes for dramas, movies and anime series. On July 15th 2009, he released his first original album entitled musica'.  https://www.last.fm/music/%E6%BE%A4%E9%87%8E%E5%BC%98%E4%B9%8B",41010,4562931,KOHTA YAMAMOTO
Christopher Larkin,"Christopher Larkin is an award winning composer and sound designer from Australia. He does sound for games, film and TV. Some of the projects he has composed for are: Hollow Knight, Pacman 256 and Figaro Pho. https://www.last.fm/music/Christopher+Larkin",306300,14173613,Max LL
Christy Altomare,"In July 2008 Christy joined the Broadway touring cast of Spring Awakening in the lead role of Wendla.  She will be touring the United States and Canada until August of 2009.  Christy is a 2008 graduate of Cincinnati University’s College-Conservatory of Music (CCM) where she got her BFA in Musical Theater.  While at the university, Christy played several roles in CCM and regional productions including Little Women, Pirates of Penzance, Wonderful Town, Bye Bye Birdie, and Crazy For You.  https://www.last.fm/music/Christy+Altomare",190155,2215297,Ramin Karimloo
Animelmack,https://www.last.fm/music/Animelmack,55985,436365,BLINDING SUNRISE
Charlie Clouser,"Charles Alexander Clouser (born June 28, 1963 in Hanover, New Hampshire) is a musician whose activities include playing keyboard and drums, programming, engineering, and mixing. He was a member of the band Nine Inch Nails from 1994-2000, and has done remixes for artists such as White Zombie, Marilyn Manson, Rammstein, Prong, Killing Joke, and Splattercell. He provided the live synth for Alec Empire's ""Intelligence And Sacrifice"" tour in 2001.

Two https://www.last.fm/music/Charlie+Clouser",156480,2933466,Christopher Young
The Bellas,"The Bellas are an a cappella group from the film Pitch Perfect 3, comprising Anna Kendrick, Anna Camp, Rebel Wilson, Brittany Snow, Hailee Steinfeld, Hana Mae Lee, Ester Dean, Chrissie Fit, Alexis Knapp, Kelley Jakle and Shelley Regner. https://www.last.fm/music/The+Bellas",115150,1577913,The Barden Bellas
Michelle Williams,"1 Tenitra Michelle Williams (born July 23, 1980 in Rockford, Illinois) is an American singer, songwriter, record producer and actress. Her work has earned her several awards and accolades including a Grammy Award and star on the Hollywood Walk of Fame with Destiny's Child, a solo MOBO Award, and solo nominations in the Stellar Awards and NAACP Theatre Awards. She has also been honored by the American Society of Culture Critics for her contributions to music and theater. https://www.last.fm/music/Michelle+Williams",550340,4242153,Kelly Rowland
Linked Horizon,"Linked Horizon is a Japanese band formed in 2012 by composer and multi-instrumentalist, Revo, as a sister project to the band Sound Horizon. The group was formed for the purpose of collaboration in various media such as anime and video games.

Linked Horizon made their debut with the EP, ルクセンダルク小紀行, on 22 August 2012. The songs from the EP consisted of vocalized selections from the soundtrack of the game Bravely Default. The group https://www.last.fm/music/Linked+Horizon",493562,11972057,Yoko Hikasa
Hugh Jackman,"Hugh Michael Jackman (born October 12, 1968 in Sydney, New South Wales, Australia) is an Australian film producer, film and stage actor, known for playing Wolverine in X-Men and its sequels, and his Tony Award-winning performance in The Boy from Oz. In 2005 he won an Emmy for hosting the Tony awards.

In 2004, Jackman won a Tony Award for his Broadway portrayal of Australian songwriter and performer Peter Allen in The Boy from Oz. He hosted the Tony Awards in 2004 and 2005, garnering very positive reviews. https://www.last.fm/music/Hugh+Jackman",578014,9843610,Ziv Zaifman
ポルノグラフィティ,"Porno Graffitti (ポルノグラフィティ, Poruno Gurafiti) is a Japanese two-piece rock band. The band got their name from the album Extreme II: Pornograffitti by the band Extreme. The members are Akihito Okano (vocals and guitars) and Haruichi Shindo (guitars and background vocals).

They came out with the song Apollo in 1999. Two single CDs Saudade and Agehachō both sold over a million copies in Japan. They are also well known for the song Melissa, used as the opening theme of the anime series Fullmetal Alchemist, in 2003. https://www.last.fm/music/%E3%83%9D%E3%83%AB%E3%83%8E%E3%82%B0%E3%83%A9%E3%83%95%E3%82%A3%E3%83%86%E3%82%A3",78257,6195212,B'z
米津玄師,"(For information on his work as a vocaloid producer, please see ハチ.)

米津玄師 (Yonezu Kenshi), born on March 10, 1991, is a singer, songwriter & illustrator. He has released vocaloid music under the name ハチ (Hachi) since 2009. His official home page is at Reissue Records.

On May 16, 2012, he released his debut non-vocaloid album, diorama, using his real name. He was picked up by a major label (Universal Music Japan) about one year later, and released the single, サンタマリア (Santa Maria) on May 29, 2013. https://www.last.fm/music/%E7%B1%B3%E6%B4%A5%E7%8E%84%E5%B8%AB",50278,4905272,King Gnu
Ziv Zaifman,https://www.last.fm/music/Ziv+Zaifman,311136,2307151,Hugh Jackman
D-51,"D-51 (ディー・ゴー・イチ Dī Gō Ichi) is a Japanese popular music group consisting of two men, YU and YASU. They are signed under Pony Canyon label. According to its members, the name D-51 came from JNR's steam locomotive D51 class.

In 2005 they had their first big hit with the single NO MORE CRY, which peaked at no. 5 on Oricon charts and became the 13th best selling single of the year, selling 402,034 copies. https://www.last.fm/music/D-51",84127,945210,BOYSTYLE
Loren Allred,"She was on The Voice (U.S.) season 3 on Team Adam. She attended Berklee College of Music in Boston. While attending Berklee, she was a wedding singer. https://www.last.fm/music/Loren+Allred",383483,3932092,"Ziv Zaifman, Hugh Jackman & Michelle Williams"
Zac Efron,"Zachary David Alexander Efron (born October 18, 1987 in San Luis Obispo, California, U.S.) is an American actor, singer, and dancer. He began acting professionally in the early 2000s, and became known to young audiences after his roles in the Disney Channel Original Movie High School Musical, the WB series Summerland, and the 2007 film version of the Broadway musical Hairspray. In 2007, before the release of High School Musical 2, Rolling Stone declared him the ""poster boy for tweenyboppers"" and featured him in their late August 2007 issue. https://www.last.fm/music/Zac+Efron",825731,8424875,High School Musical
Keala Settle,"Keala Joan Settle (born November 5, 1975) is an American actress and singer.  https://www.last.fm/music/Keala+Settle",394829,3369988,Jessie Mueller
Austyn Johnson,https://www.last.fm/music/Austyn+Johnson,136253,676743,Jason Raize
에일리,"Ailee (에일리; born May 30, 1989 in Denver, Colorado, United States), Birth name: Amy Lee; Korean name: Lee Yejin (이예진), is an American singer under South Korean record label YMC Entertainment. She released her first single, ""Heaven"", in February 2012.

On February 6, the music video teaser for Ailee's debut song, ""Heaven"", was released. Heaven was written and produced by 휘성. On the 9th, Ailee released the song and the music video, which featured Beast's Lee Gi Kwang. https://www.last.fm/music/%EC%97%90%EC%9D%BC%EB%A6%AC",26246,1835447,Gummy
The New Barden Bellas,https://www.last.fm/music/The+New+Barden+Bellas,37463,212650,The Bellas
Tia,"There is more than one artist who goes by the name Tia:

1) ＴｉＡ is a Japanese urban pop singer best known for singing themes for the anime NARUTO and Yakitate!! Japan.

2) Tia is a Japanese voice actress/singer who debuted in the anime series Wooser's Hand-to-Mouth Life. She dubbed the voice for the character Yuu and performed the ending theme for the series, which was written and produced by Ryo of Supercell.

3) Tia is Tia Bocker, a former pop/HiNRG singer in the mold of Madonna who now concentrates on rock music. https://www.last.fm/music/Tia",259909,2693059,JUNNA
Yasuharu Takanashi,"Yasuharu Takanashi (高梨康治 Takanashi Yasuharu ), born April 13, 1964 in Tokyo, is a Japanese composer.  He has composed the music to such anime series as Naruto, Seto no Hanayome, Fairy Tail and Shiki: Corpse Demon. To name a few. https://www.last.fm/music/Yasuharu+Takanashi",175254,8161334,Musashi Project
Heize,"Jang Dahye (born August 9, 1991), better known by her stage name Heize (헤이즈), is a South Korean singer and rapper. She made her debut in 2014 with the mini album HEIZE and signed to CJ E&M before participating in Unpretty Rapstar 2 in 2015. https://www.last.fm/music/Heize",475024,19387632,LEE HI
Miura Jam,Miura Jam is a musical project created by guitarist/composer Daniel Miura. https://www.last.fm/music/Miura+Jam,292217,3467258,Tragicômico
deadman 死人,"Dirkle D. Mannington, better known by their stage name deadman 死​人, is a producer and singer who gained notoriety from his YouTube type beats.

They  started to gain some traction with his song with Lil Boom titled ""Already Dead,"" but they wouldn’t blow up until they released the instrumental for the song ""Omae Wa Mou"" on all platforms. Once the instrumental released, it went viral on TikTok. https://www.last.fm/music/deadman+%E6%AD%BB%E4%BA%BA",194988,1630705,takayan
雅-MIYAVI-,"MIYAVI, (born Takamasa Ishihara (石原貴雅) in Konohana-ku, Osaka, Japan on September 14, 1981) is a Japanese singer-songwriter, guitarist, record producer and actor. He is known for his finger-slapping style of playing a guitar.

MIYAVI is the ex-guitarist of Dué le quartz. During his time with Dué le quartz, he was known as Miyabi, meaning elegant. After going solo in late 2002, he changed his stage name to 雅-MIYAVI-. In 2013, with the release of his self titled album MIYAVI https://www.last.fm/music/%E9%9B%85-MIYAVI-",84393,8058228,Hyde
氷川きよし,"Kiyoshi Hikawa (Japanese: 氷川 きよし, Hikawa Kiyoshi), real name Kiyoshi Yamada, (山田 清志), born on September 6, 1977, is a Japanese enka singer. He was born in Fukuoka city in Fukuoka Prefecture. His record company is ""Columbia Music Entertainment"", and his agency is ""Nagara Productions"". He debuted in 2000. He was given his stage name by Takeshi Kitano, otherwise known as ""Beat Takeshi"", the Japanese film director, comedian, and television personality who initially supported his career. https://www.last.fm/music/%E6%B0%B7%E5%B7%9D%E3%81%8D%E3%82%88%E3%81%97",6873,186245,美空ひばり
Benjamin Wallfisch,"Benjamin Wallfisch (born August 7, 1979) is an English composer, conductor, and pianist. Since the mid-2000s, he has composed and contributed to music for over 60 feature films. His compositions include original scores for A Cure For Wellness, Hidden Figures, Lights Out, and Desert Dancer. In 2017, he was jointly nominated with Pharrell Williams and Hans Zimmer for Best Original Score at the 74th Golden Globe Awards for his work on Hidden Figures. https://www.last.fm/music/Benjamin+Wallfisch",125806,1379639,Marco Beltrami
Steve Jablonsky,"Steve Jablonsky (born October 9, 1970) is an American composer for film, television and video games, best known for his musical scores in the Transformers film series. Some of his frequent collaboration partners include film directors Michael Bay and Peter Berg, and fellow composer Hans Zimmer.

Jablonsky went to the University of California, Berkeley for college. He studied computer science at the beginning, but switched to music composition a year later. https://www.last.fm/music/Steve+Jablonsky",512302,13901726,Brian Tyler
Daniel Pemberton,"Daniel Pemberton (born 3 November 1977) is an English composer.

In 1994, at the age of 16, Pemberton recorded his debut album, Bedroom, on a multitrack cassette recorder, which caught the attention of ambient musician Pete Namlook and was released on the latter’s Fax label as part of its sub-label series.

In 2013, Pemberton completed his breakthrough score of director Ridley Scott's film The Counselor. The score was recorded at Abbey Road Studios in London. https://www.last.fm/music/Daniel+Pemberton",457748,10194767,John Paesano
アトラスサウンドチーム,"Atlus Sound Team (アトラスサウンドチーム) is a collective of video game composers and musicians for the Japanese gaming company Atlus. Its members have included musicians such as Atsushi Kitajoh, Ryota Kozuka, Kenichi Tsuchiya, and Toshikazu Tanaka, among several others. They are well known for the Persona franchise, originally a 1996 PlayStation role-playing game that resulted in numerous sequels, spin-offs, and music releases. 

Official album credits for Atlus Sound Team include 2015's Devil Survivor 2 with Shoji Meguro https://www.last.fm/music/%E3%82%A2%E3%83%88%E3%83%A9%E3%82%B9%E3%82%B5%E3%82%A6%E3%83%B3%E3%83%89%E3%83%81%E3%83%BC%E3%83%A0",312778,30887908,平田志穂子
Laura Dreyfuss,https://www.last.fm/music/Laura+Dreyfuss,137916,1664932,Rachel Bay Jones
Chitose Morinaga,https://www.last.fm/music/Chitose+Morinaga,13777,100655,Rainych
Nostalghia,"There are multiple artists named Nostalghia;

1) Ciscandra Nostalghia, known by her stage name Nostalghia, is an American singer and songwriter.

In 2014, she released her first album, Chrysalis, written with collaborator and multi-instrumentalist Roy Gnan. Nostalghia co-wrote and performed two songs for the 2017 film John Wick: Chapter 2. She also appeared in the film. In 2018, Nostalghia released the single ""Little White Moment"".

Early life
Nostalghia was born in Southern California and raised by her Persian mother and her father https://www.last.fm/music/Nostalghia",78711,1141041,Esben and the Witch
Gumi,"GUMI is an official mascot character of Megpoid (メグッポイド) which is a singing synthesizer application software powered by Yamaha’s Vocaloid2 and was published by Internet Co., Ltd. Megpoid was voiced by Megumi Nakajima and released on June 25, 2009. It comes with 3 demo VSQ files, “Happy Birthday”, “be MYSELF” , and “Hitori Yurari”.

“be MYSELF” is an original song by Nakajima and it had also, previously been covered by Meiko Sakine. The voice range is F2 - A4 and its optimum tempo is 60 - 175BPM. https://www.last.fm/music/Gumi",84245,1498209,初音ミク
Rachel Bay Jones,https://www.last.fm/music/Rachel+Bay+Jones,151634,2051483,Laura Dreyfuss
Anly,"Anly, born in 1997 in Okinawa, Japan, is a Japanese pop singer-songwriter under Sony Music Entertainment. She released her first indie single in early 2015 and later made her major label debut in late 2015. https://www.last.fm/music/Anly",60885,701063,Milet
Angelo Badalamenti,"Angelo Daniel Badalamenti (22 March 1937 – 11 December 2022) was an American composer and arranger best known for his film and television scores, particularly his collaborations with director David Lynch. His most notable works include the music for ""Blue Velvet"" (1986), ""Twin Peaks"" (1990–1991; 2017), ""Twin Peaks: Fire Walk with Me"" (1992), ""The Straight Story"" (1999), and ""Mulholland Drive"" (2001).

Badalamenti also composed scores for other films such as ""National Lampoon's Christmas Vacation"" (1989) https://www.last.fm/music/Angelo+Badalamenti",748501,17711240,Julee Cruise
Sam Lee,"There are numerous artists named Sam Lee, including:
1) an English folk musician
2) a Korean artist
3) a Taiwanese artist

1) Sam Lee is a folk-singer, song-collector, promoter, radio host, TV personality, teacher and owner of a restless mind luckily powered with generous supplies of optimistic energy. 
He's a natural singer but the practice was new to him until his first encounter with folk-song some six years ago, an epiphany that compelled him to abandon his work as a visual artist https://www.last.fm/music/Sam+Lee",64235,596213,The Unthanks
Kevin Penkin,"Kevin Penkin is a composer from Australia, born 22 May 1992. He is best known for composing the Made in Abyss soundtrack which won a Crunchyroll Anime Award in 2017. https://www.last.fm/music/Kevin+Penkin",132501,7653350,Evan Call
JUNNA,"1) JUNNA is a Japanese pop singer born  November 2, 2000 in Aichi, Japan and managed by Cube Inc, and signed to the flying Dog label. She made her debut as the singing voice of Mikumo Guynemer, the main vocalist of Walküre from the anime Macross Δ. 

In 2015, JUNNA entered the MUSICUBE AUDITION 2015 with VICTOR ENTERTAINMENT in YOKOHAMA, an audition hosted jointly by Victor Entertainment Inc. and radio broadcast corporation FM Yokohama. So impressed with the young singer by Victor's flying Dog sub-label, JUNNA was signed to Cube Inc. https://www.last.fm/music/JUNNA",56543,888257,鈴木このみ
NateWantsToBattle,"Nathan Sharp (born Nathan Han Smith and also known as Neito Han), commonly referred to as his Pokémon-derived YouTube name ""NateWantsToBattle,"" is a singer, songwriter, and former gaming YouTuber from Orlando, USA. He is most known for his English covers of anime openings, Pokémon, The Legend of Zelda, and anime related parodies of popular songs. And fan songs for Five Nights at Freddy's, The Legend of Zelda, Undertale, and more. He has also released original music: His first original album, Sandcastle Kingdoms released on on March 1, 2017. https://www.last.fm/music/NateWantsToBattle",284908,8944962,Rockit Music
MACHICO,"Machico (マチコ) is a Japanese pop singer and seiyuu signed to Mustard Records. Her real name is Saito Machiko (齊藤真知子).

In 2011, Machico participated in Horipro's 36th Talent Scout Caravan, but lost to Tadokoro Azusa (田所あずさ). However, she and several other finalists were offered a contract with Horipro. She made her music debut in 2012 and in October of the same year held her first solo concert at Rock Maykan. https://www.last.fm/music/MACHICO",50811,894508,ClariS
Henry,"There are, at least, five artists with the name ""Henry"":

1. Henry , also known as Henry Lau, a Chinese-Canadian artist releasing music in South Korea, also a member of the Chinese-Korean pop group Super Junior M.
2. Henry Olivier, a Brazilian singer-songwriter
3. Henry, a post-rock act from Spain
4. The alias of indie musician Jeremy Harmon
5. DJ Henry, from Germany
6. Henry (Henry Scott), hip hop & pop artist from the USA.


1. Henry , also known as Henry Lau is a Chinese Canadian pop singer. https://www.last.fm/music/Henry",240862,3777531,Eddy Kim
cinema staff,"cinema staff is a Japanese four-piece alternative rockband formed in Gifu in 2006.


Members: 
Vocals & Guitar: 飯田瑞規  (Mizuki Iida) 
Guitar: 辻 友貴  (Tomotaka Tsuji) 
Bass: 三島想平  (Sohei Mishima) 
Drums: 久野洋平  (Yohei Kuno) 


History: 
cinema staff is a Japanese rock band formed 2006. They high school classmates Tsuji, Iida, and Mishima already formed a band in 2003 which was called ""REAL"". 
In 2006, with the members entering university, a new drummer joined, and the band changed its name to cinema staff. https://www.last.fm/music/cinema+staff",137266,3480581,ストレイテナー
岡部啓一,"Keiichi Okabe (岡部啓一, Okabe Keiichi, born May 26, 1969) is a Japanese composer best known for composing music for Nier and its sequel Nier: Automata, along with Tekken 3. He started his career as a video game composer where he worked at Namco between 1994 and 2001, primarily composing for arcade games. Outside of video games he has composed for anime series such as Working!!, along with tracks for J-pop artists such as Ryuichi Kawamura. Since 2004 he has been running music production studio Monaca. https://www.last.fm/music/%E5%B2%A1%E9%83%A8%E5%95%93%E4%B8%80",129328,5762920,Keigo Hoashi
Kristofer Maddigan,"Kristofer Maddigan is a percussionist, drummer, BAFTA award winning and Juno nominated composer based in Toronto, Canada. Principal percussionist of the National Ballet of Canada Orchestra (of which he has been a member since 2010), Kris also performs regularly with a wide range of groups including The Toronto Symphony Orchestra, The National Arts Center Orchestra, The Hannaford Street Silver Band, The Esprit Orchestra, The Toronto Concert Orchestra, The Thunder-Bay Symphony, A Fantastica Batteria, and the Devah Quartet. https://www.last.fm/music/Kristofer+Maddigan",126359,3447319,The 8-Bit Big Band
Joris de Man,"Joris de Man is a Dutch composer and sound designer living in the UK. Born in the Hague in 1972 into a musical family, his father was a professor at the Hague Royal Conservatory and a well known contemporary composer, his mother an internationally acclaimed Harpsichordist.

Joris' own passion for music started with the violin. He joined the Gymnasium Haganum’s School Orchestra a year before attending school there. He would later exchange the violin for a synthesizer and computer https://www.last.fm/music/Joris+de+Man",85910,1774110,Oleksa Lozowchuk
La Sentencia,https://www.last.fm/music/La+Sentencia,234,3364,Agrupación Musical Nuestro Padre Jesús de la Redención de Sevilla
Sarah Schachner,"Sarah Schachner is an American composer and musician known for her work in film, television, and video games. She performs as well as composes and arranges music.

Schachner grew up near Philadelphia and began playing piano at age five, later learning violin, viola, and cello. She played music both with her family and in school orchestras and jazz bands.

She attended the Berklee College of Music and later moved to Los Angeles. There, she began collaborating with composer Brian Tyler https://www.last.fm/music/Sarah+Schachner",117594,2731126,Elitsa Alexandrova
X-Ray Dog,"X-Ray Dog is an American musical library which is located in Burbank, California. They compose music for Hollywood movie trailers and soundtracks. X-Ray Dog composes and plays ""bombastic, epic, orchestral music"".
X-Ray Dog primarily produces high-end orchestral and choral music for movie and TV trailers. Their music is generally not available to consumers, as they market directly to movie studios.

The group's music has been featured in trailers for a number of films https://www.last.fm/music/X-Ray+Dog",94942,4705911,Immediate Music
Brian the Sun,"Brian the Sun are 
森良太 [vo./gt.]
白山治輝 [ba./cho.
小川真司 [gt./cho.]
田中駿汰 [Dr./cho.]


強く心に突き刺さるメッセージ 脳内ループサウンド
彼らの創り出す空間に 人々は引き込まれていく・・・
2007年5月、大阪にて中学の頃から音楽活動をしていたvo.＆gt森を中心に同じ高校の軽音部だったBa.白山とバンドを結成。精力的に活動し、2008年夏には当時のメンバーで閃光ライオット2008決勝に出場、準グランプリを獲得。その後、すぐにメンバー受験のために活動休止し、2009年春活動再開。
2010年1月Gt.小川が加入、ツアーで全国各地、フィリピンでもライブを決行。
その夏、当時のドラマーが急遽脱退。 なかなかいいドラマーが見つからなかったが、ツアーが決定していたために、サポートベーシストを迎え、スタジオで遊ぶ程度のドラム経験だったBa.白山がドラムを担当することになり、夏限定メンバーでツアーを決行。ツアー終了後、秋にDr.田中をサポートドラマーとして迎え、2011年4月に正式加入し現在のメンバーとなる。
2012年7月4日、1st maxi single『sister』を全国リリース。
関東・関西を中心に精力的に活動を行い、東京・大阪でワンマンライブを成功させた。
秋にはフェスにも参加し、その名を広めていく。
2013年3月6日、2nd maxi single『Baked Plum Cake』を全国リリースし、全国リリースツアーを成功させる。
2013年6月5日、1st Full Album『NON SUGAR』を全国リリース。
自身達初めてのアルバムにして今までの活動での主要曲を網羅するこの一枚は彼らを凝縮した一枚になる。
これに伴い、東名阪を中心に各地のイベントやライブハウスを回る""NON SUGAR TOUR""を行う。  https://www.last.fm/music/Brian+the+Sun",79921,994705,BLUE ENCOUNT
Aaron Montalvo,https://www.last.fm/music/Aaron+Montalvo,17285,135077,Adrian Barba
UVERworld,"UVERworld (ウーバーワールド) is a Japanese rock band known for their mixture of musical genres such as hard rock, electronic, and beat-boxing. UVERchan, the band's mascot, is a fictional bear-bat like character, which appears on several of their covers.

The five-member band known as UVERworld first formed in 2003, and were known as Sound Goku Road(sound極road) or, more popularly, ""Sangoku Road."" The band originally consisted of seven members, and released a demo CD which ended up selling 3,000 copies. https://www.last.fm/music/UVERworld",465096,19756328,Flow
遠野高志,https://www.last.fm/music/%E9%81%A0%E9%87%8E%E9%AB%98%E5%BF%97,170601,1958678,矢口恭介
Cher,"Cher (born Cheryl Sarkisian; May 20, 1946) is an American singer, actress and television personality. Often referred to by the media as the ""Goddess of Pop"", she has been described as embodying female autonomy in a male-dominated industry. Cher is known for her distinctive contralto singing voice and for having worked in numerous areas of entertainment, as well as adopting a variety of styles and appearances throughout her six-decade-long career. https://www.last.fm/music/Cher",2100757,36596191,Sonny & Cher
Hugh Skinner,https://www.last.fm/music/Hugh+Skinner,111358,654071,Josh Dylan
YOSHIKI,"Leader of the Japanese Heavy metal/Speed metal/visual-kei group X Japan (Before 1992 known as X), Yoshiki also uses his remarkable talents as a composer and pianist to produce contemporary classical.

At Otakon 2006, Yoshiki announced that he would be founding a new 'super-band' named S.K.I.N. with the solo singer Gackt, Ex-LUNA SEA member Sugizo, and 雅-miyavi-. The collective performed for the first time on June 27, 2007 at the Long Beach Convention Center in Los Angeles, California during AnimeExpo 2007. https://www.last.fm/music/YOSHIKI",217432,3175867,Linked Horizon
SIX,"There is more than one artist with this name:

1)
Six Star The self proclaimed ""Face of the E.N.T.” Six Star is what most people would call the best of both worlds. Born May 30th, 1990 in Los Angeles, Ca Six just like two of raps greatest (2Pac & The Notorious B.I.G.) is a Gemini. ""If you ask anybody who knows me they'll tell you I've seen the best, but lived in the worst. I’ve been up and came back down... I've witnessed on both sides of the fence. https://www.last.fm/music/SIX",311489,8899920,Barrett Wilbert Weed & Ryan McCartan
TK from 凛として時雨,"TK is Toru Kitajima, a singer/songwriter and guitarist from Saitama, Japan. Born December 23, 1982, he is the frontman of the indie rock/post-hardcore band 凛として時雨 (Ling tosite sigure). He began this solo project with the release of a limited edition DVD titled film A moment on April 27, 2011. Now out of print, it was packaged with a photo book/diary and a DVD with the songs ""white silence"" and ""film A moment."" These tracks were reworked and released on TK's full-length album, flowering, on June 27, 2012. https://www.last.fm/music/TK+from+%E5%87%9B%E3%81%A8%E3%81%97%E3%81%A6%E6%99%82%E9%9B%A8",41490,2279026,Ling Tosite Sigure
Lily James,"Lily Chloe Ninette James (née Thomson; born 5 April 1989) is an English actress. She studied acting at the Guildhall School of Music and Drama in London and soon began her acting career in the British television series Just William (2010). Following a supporting role in the period drama series Downton Abbey (2012–2015), James had her film breakthrough by playing the eponymous role in the fantasy film Cinderella (2015).

James went on to play Natasha Rostova in the television series War & Peace (2016). https://www.last.fm/music/Lily+James",251796,3003631,Amanda Seyfried
Jeremy Irvine,https://www.last.fm/music/Jeremy+Irvine,62872,340291,Hugh Skinner
Amanda Seyfried,"Amanda Michelle Seyfried (born December 3, 1985) is an American actress and former child model. She is known for her roles in the feature films Mean Girls, Mamma Mia! and Alpha Dog, and in the television shows Veronica Mars and Big Love.

Seyfried was born in Allentown, in the Lehigh Valley region of Pennsylvania. She is a 2003 graduate of Allentown's William Allen High School and was enrolled at New York City's Fordham University. As a teenager, she appeared on the cover of three Francine Pascal books. https://www.last.fm/music/Amanda+Seyfried",610071,8025003,Meryl Streep
物語シリーズ,"The Monogatari series is a light novel series created by NISIOISIN. This tag is for the songs from the anime series Monogatari, which includes Bakemonogatari, Kizumonogatari, Nisemonogatari, Nekomonogatari: Kuro, Monogatari Series: Second Season, Owarimonogatari, Koyomimonogatari, Owarimonogatari 2nd Season and Zoku Owarimonogatari. Below is presented what was the prior biography.  

Yotsugi best girl

no she isn't shut up

Yotsumid

you're all wrong https://www.last.fm/music/%E7%89%A9%E8%AA%9E%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA",358380,9865898,河野マリナ
Brian Tyler,"Brian Theodore Tyler (born May 8, 1972) is an American composer, conductor, musician, arranger, and record producer known for his work in film, television, and video game scores. Over his career, he has composed music for seven films in the ""Fast & Furious"" franchise, ""Rambo,"" ""Eagle Eye,"" ""The Expendables"" trilogy, ""Iron Man 3,"" ""Now You See Me,"" ""Avengers: Age of Ultron"" (co-composed with Danny Elfman), ""Crazy Rich Asians,"" and ""The Super Mario Bros. Movie."" https://www.last.fm/music/Brian+Tyler",555459,12050607,Lorne Balfe
Kankaku Piero,https://www.last.fm/music/Kankaku+Piero,80670,1168404,KANA-BOON
ムービー・サウンズ・アンリミテッド,https://www.last.fm/music/%E3%83%A0%E3%83%BC%E3%83%93%E3%83%BC%E3%83%BB%E3%82%B5%E3%82%A6%E3%83%B3%E3%82%BA%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%AA%E3%83%9F%E3%83%86%E3%83%83%E3%83%89,1473,3523,Warrior Soundz
Lenny code fiction,"Lenny Code Fiction, stylized as Lenny code fiction, is an alternative rock band formed in 2012. https://www.last.fm/music/Lenny+code+fiction",79539,746738,BLUE ENCOUNT
